"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
40,5,1,3,2,1,1,1,1,2
72,5,1,3,2,1,1,1,2,1
40,5,1,3,2,2,2,1,3,1
47,3,3,1,2,2,2,2,3,3
59,3,3,1,2,2,2,1,1,1
120,3,3,1,2,2,1,1,3,1
9,3,3,1,2,2,3,2,2,1
59,3,3,1,2,1,1,2,1,1
128,3,3,1,2,3,1,1,1,1
47,3,3,1,2,2,1,1,1,1
126,3,3,1,2,2,1,2,3,1
131,3,3,1,2,1,1,1,1,2
131,3,3,1,2,1,1,1,1,2
10,3,3,1,2,3,3,3,3,2
111,3,3,1,2,2,3,2,2,2
109,1,3,1,2,3,2,3,3,3
108,1,3,1,2,3,2,3,3,3
14,1,3,1,2,1,1,1,2,1
83,1,3,1,2,1,1,1,1,1
22,1,3,1,2,1,2,1,1,1
109,1,3,1,2,3,1,3,3,1
109,1,3,1,2,2,1,1,1,1
127,1,3,1,2,2,2,1,1,1
70,1,3,1,2,1,1,3,3,1
112,1,3,1,2,2,1,1,2,2
4,5,2,1,2,1,2,3,3,2
72,5,2,1,2,1,2,2,2,1
72,5,2,1,2,1,1,2,3,1
72,5,2,1,2,1,1,2,1,1
40,5,2,1,2,2,2,2,2,1
40,5,2,1,2,3,2,2,2,1
102,5,2,1,2,2,3,2,2,1
4,5,2,1,2,1,2,1,2,1
78,5,2,1,2,3,1,1,2,1
102,5,2,1,2,2,2,1,1,1
42,5,2,1,2,1,1,1,2,1
40,5,2,1,2,2,1,2,2,1
72,5,2,1,2,1,1,2,3,1
72,5,2,1,2,1,1,1,1,1
40,5,2,1,2,3,2,2,2,1
40,5,2,1,2,1,1,1,2,1
72,5,2,1,2,2,2,2,1,1
40,5,2,1,2,2,2,2,2,1
72,5,2,1,2,2,2,2,4,2
40,5,2,1,2,1,1,3,2,2
102,5,2,1,2,1,1,2,2,2
72,5,2,1,2,2,1,3,3,2
40,5,2,1,2,1,1,2,4,2
4,5,2,1,2,1,1,4,3,2
40,5,2,1,2,3,1,2,3,2
40,5,2,1,2,2,2,3,2,2
40,5,2,1,2,3,3,3,3,2
72,5,2,1,2,1,1,3,3,2
40,5,2,1,2,3,4,2,2,2
4,5,2,1,2,1,1,2,1,2
40,5,2,1,2,2,2,2,2,2
119,5,2,1,2,1,1,2,4,2
34,2,2,2,2,1,1,2,2,3
75,2,2,2,2,2,1,3,2,3
36,2,2,2,2,1,1,4,2,1
37,2,2,2,2,2,1,4,2,2
106,4,2,2,2,1,1,1,1,1
27,4,2,2,2,2,2,2,3,2
27,4,2,2,2,1,1,4,2,2
2,4,2,2,2,1,2,2,3,2
106,4,2,2,2,3,1,2,2,2
118,4,2,2,2,2,2,2,4,2
106,4,2,2,2,2,1,3,3,2
95,4,2,2,2,2,4,1,3,2
131,3,1,1,2,3,1,3,2,3
110,3,1,1,2,2,2,2,1,1
9,3,1,1,2,1,1,2,2,1
111,3,1,1,2,2,2,3,3,1
111,3,1,1,2,1,1,1,1,1
59,3,1,1,2,2,2,1,2,1
59,3,1,1,2,1,1,4,3,2
10,3,1,1,2,2,1,1,1,2
128,3,1,1,2,2,1,4,2,2
111,3,1,1,2,1,2,3,3,2
115,3,1,1,2,1,2,3,2,2
59,3,1,1,2,2,1,2,2,2
9,3,1,1,2,2,1,1,1,2
98,6,2,2,2,2,1,1,2,3
87,6,2,2,2,2,1,2,3,1
57,6,2,2,2,2,3,3,3,1
125,6,2,2,2,1,1,1,1,1
65,6,2,2,2,3,1,3,2,2
86,6,2,2,2,2,1,2,2,2
125,6,2,2,2,2,1,1,1,2
87,6,2,2,2,1,1,2,2,2
26,6,2,2,2,2,2,3,2,2
14,1,1,1,2,2,2,3,3,2
132,1,1,1,2,2,2,2,1,3
112,1,1,1,2,2,1,1,2,1
83,1,1,1,2,3,1,3,3,1
108,1,1,1,2,3,4,1,2,1
83,1,1,1,2,2,2,2,3,1
90,1,1,1,2,1,1,2,2,1
94,1,1,1,2,2,2,2,1,2
109,1,1,1,2,2,4,2,2,2
15,1,1,1,2,1,1,4,2,2
127,1,1,1,2,3,1,3,2,2
83,1,1,1,2,2,1,3,3,2
40,5,4,3,2,2,1,2,3,2
40,5,4,3,2,4,4,4,4,4
46,2,3,1,2,3,2,3,2,3
12,2,3,1,2,1,2,1,2,1
61,2,3,1,2,2,1,2,1,1
81,2,3,1,2,1,1,1,1,1
11,2,3,1,2,1,1,1,1,1
81,2,3,1,2,2,2,2,2,1
91,2,3,1,2,3,2,2,2,1
24,2,3,1,2,1,1,1,1,1
117,2,3,1,2,1,1,2,2,2
20,2,3,1,2,3,2,2,1,2
34,2,3,1,2,2,2,1,1,2
96,2,3,1,2,2,2,3,3,2
61,2,3,1,2,3,1,3,3,2
36,2,3,1,2,3,1,1,4,2
44,4,3,1,2,2,2,2,2,3
60,4,3,1,2,3,2,3,3,3
92,4,3,1,2,1,1,1,2,1
60,4,3,1,2,3,2,1,1,1
60,4,3,1,2,1,1,1,1,1
60,4,3,1,2,3,2,1,2,1
130,4,3,1,2,1,1,2,2,1
27,4,3,1,2,2,1,1,1,1
27,4,3,1,2,1,1,2,2,1
27,4,3,1,2,2,1,2,2,1
27,4,3,1,2,3,2,2,3,1
29,4,3,1,2,1,3,2,2,1
118,4,3,1,2,3,2,3,3,1
63,4,3,1,2,3,1,3,3,2
60,4,3,1,2,3,2,2,2,2
60,4,3,1,2,3,1,2,2,2
5,4,3,1,2,2,3,3,3,2
27,4,3,1,2,1,2,1,1,2
52,4,3,1,2,3,1,2,2,2
27,4,3,1,2,2,2,2,2,2
60,4,2,3,1,2,2,2,1,1
118,4,2,3,1,2,2,3,2,2
106,4,2,3,1,2,1,4,1,2
47,3,3,2,2,1,1,3,2,1
98,6,3,1,2,1,1,2,2,1
125,6,3,1,2,1,1,1,1,1
87,6,3,1,2,2,1,2,2,1
86,6,3,1,2,1,1,1,1,1
125,6,3,1,2,1,2,3,3,1
26,6,3,1,2,2,2,3,3,1
86,6,3,1,2,2,2,1,1,1
86,6,3,1,2,2,2,2,3,1
107,6,3,1,2,1,2,4,2,4
51,6,3,1,2,2,1,4,3,4
98,6,3,1,2,2,2,2,2,2
68,6,3,1,2,2,1,1,2,2
85,6,3,1,2,1,1,2,2,2
1,6,3,1,2,1,2,1,1,2
121,2,1,1,2,3,1,1,1,1
46,2,1,1,2,2,1,1,1,2
125,6,2,3,1,2,1,2,2,1
26,6,2,3,1,2,1,2,2,2
86,6,2,3,1,3,1,1,2,1
108,1,3,2,2,3,1,3,2,1
108,1,3,2,2,1,1,1,1,1
119,5,2,2,2,3,2,3,3,3
40,5,2,2,2,3,2,3,3,3
102,5,2,2,2,2,1,1,1,1
102,5,2,2,2,3,1,1,3,1
130,4,1,1,2,1,1,2,1,2
54,4,1,1,2,3,1,2,2,3
130,4,1,1,2,2,2,3,2,1
52,4,1,1,2,2,1,2,1,1
118,4,1,1,2,2,2,1,1,1
58,4,1,1,2,1,2,3,2,1
27,4,1,1,2,1,2,2,3,4
7,4,1,1,2,1,3,2,2,2
118,4,1,1,2,2,2,3,3,2
60,4,1,1,2,3,4,3,2,2
106,4,1,1,2,3,1,1,1,2
27,4,1,1,2,2,1,2,3,2
27,4,1,1,2,1,1,2,2,2
118,4,1,1,2,1,1,3,3,2
27,4,1,1,2,1,1,2,3,2
106,4,1,1,2,3,1,3,3,2
84,4,1,1,2,1,1,2,1,2
27,4,1,1,2,1,1,2,3,2
93,3,4,1,2,2,2,1,2,1
59,3,4,1,2,1,1,1,1,1
47,3,4,1,2,3,3,2,3,2
26,6,1,1,2,2,1,2,1,1
87,6,1,1,2,1,2,2,2,1
87,6,1,1,2,1,1,1,3,1
26,6,1,1,2,3,2,3,3,3
51,6,1,1,2,2,2,2,2,1
86,6,1,1,2,1,1,1,1,1
57,6,1,1,2,3,1,4,2,1
125,6,1,1,2,2,2,2,2,2
103,1,4,1,2,2,2,2,1,1
108,1,4,1,2,2,2,2,1,1
127,1,4,1,2,2,2,2,2,4
109,1,4,1,2,2,2,4,4,2
114,1,4,1,2,3,3,2,4,2
104,1,1,2,2,4,1,2,2,2
40,5,3,1,2,1,1,1,1,1
40,5,3,1,2,3,1,2,3,3
119,5,3,1,2,2,2,3,2,1
72,5,3,1,2,2,1,1,1,1
102,5,3,1,2,2,2,1,1,1
40,5,3,1,2,1,1,1,2,1
40,5,3,1,2,2,1,1,2,1
40,5,3,1,2,2,1,1,1,1
40,5,3,1,2,1,1,2,2,1
40,5,3,1,2,3,2,2,2,1
40,5,3,1,2,3,2,2,1,1
119,5,3,1,2,2,1,2,2,1
102,5,3,1,2,1,1,2,2,1
119,5,3,1,2,1,1,1,1,1
77,5,3,1,2,2,1,2,4,1
102,5,3,1,2,1,1,1,2,1
40,5,3,1,2,1,2,1,2,1
78,5,3,1,2,2,1,1,1,1
72,5,3,1,2,2,2,2,2,2
72,5,3,1,2,1,1,2,2,2
78,5,3,1,2,2,1,1,2,2
77,5,3,1,2,1,1,4,4,2
40,5,3,1,2,1,2,2,2,2
8,5,3,1,2,1,2,3,2,2
40,5,3,1,2,3,1,4,4,2
34,2,3,2,2,3,2,3,2,3
96,2,3,2,2,2,2,2,1,1
