"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
27,4,3,1,2,2,1,1,2,1,1
60,4,3,1,1,2,1,2,2,2,2
108,1,3,1,2,2,1,3,4,3,4
4,5,4,1,2,2,2,3,2,3,1
86,6,2,1,2,2,3,1,2,3,1
86,6,3,4,2,2,2,3,3,3,3
46,2,3,1,1,2,2,2,2,2,2
40,5,3,1,2,2,1,2,1,1,1
11,2,3,4,1,2,2,1,2,1,1
87,6,2,1,2,2,2,3,3,3,3
61,2,3,1,1,2,1,1,1,2,1
86,6,4,1,1,2,1,3,3,3,1
57,6,4,1,1,2,1,1,1,4,1
86,6,3,1,1,2,2,1,1,1,2
1,6,2,1,1,2,1,1,1,1,1
8,5,4,1,2,2,2,2,3,2,2
110,3,4,1,1,2,1,1,2,1,2
96,2,3,1,2,2,2,2,1,1,1
125,6,2,1,1,2,2,1,1,1,1
4,5,3,1,2,2,1,1,2,1,1
96,2,2,1,2,2,2,2,1,3,1
75,2,2,1,1,2,1,1,2,1,2
65,6,1,4,2,2,3,1,2,2,2
20,2,2,1,1,2,1,1,1,1,1
26,6,3,1,2,2,1,2,1,1,1
57,6,3,2,1,2,2,1,2,2,1
125,6,4,1,1,2,1,1,4,4,2
56,2,4,2,2,2,2,2,2,3,3
121,2,2,1,1,2,2,2,2,2,3
120,3,4,1,1,2,1,2,1,1,1
75,2,2,1,2,2,1,2,2,1,1
60,4,2,1,1,2,3,3,3,3,1
111,3,3,1,1,2,2,2,1,2,1
109,1,2,3,1,2,2,3,1,3,1
40,5,3,1,1,2,3,2,3,3,2
86,6,2,2,2,2,1,2,3,2,1
82,6,4,1,1,2,1,2,1,1,1
87,6,3,4,1,2,1,1,1,2,2
2,4,2,1,2,2,1,2,3,3,1
111,3,4,1,2,2,1,2,2,3,1
111,3,3,1,1,2,2,1,1,1,1
40,5,4,1,1,1,2,2,3,3,2
119,5,3,3,2,1,1,2,2,1,3
26,6,3,1,2,1,3,3,3,2,3
46,2,4,1,1,1,1,1,4,1,1
17,1,4,1,2,1,1,1,1,1,1
51,6,4,1,1,1,3,2,3,3,1
57,6,3,1,2,1,3,3,3,3,3
98,6,2,1,1,1,1,1,1,1,1
40,5,3,1,2,1,1,2,1,1,1
26,6,3,1,1,1,2,2,1,1,2
22,1,3,1,2,1,1,1,1,4,3
40,5,3,1,2,1,2,2,2,2,2
99,4,3,1,2,1,3,1,3,3,2
72,5,3,1,2,1,2,2,1,1,2
108,1,4,1,2,1,2,2,4,4,2
53,1,4,1,2,1,3,2,1,1,1
102,5,3,1,2,1,3,2,4,1,3
94,1,3,1,1,1,1,2,1,3,1
102,5,1,3,2,1,1,1,1,1,1
102,5,3,1,1,1,2,2,4,1,1
75,2,4,1,2,1,2,1,1,1,1
118,4,4,1,2,1,2,2,1,2,2
108,1,4,1,1,1,3,2,2,4,1
20,2,2,1,2,1,1,3,2,1,1
11,2,4,1,2,1,1,4,2,2,1
113,1,3,1,2,1,1,2,1,1,1
96,2,4,1,1,1,1,1,1,1,2
2,4,4,1,1,1,2,3,2,4,1
72,5,4,1,2,1,2,2,1,4,2
4,5,2,4,2,1,1,1,1,3,1
51,6,3,1,2,1,1,4,4,2,2
40,5,4,1,2,1,2,2,2,1,2
2,4,3,1,1,1,1,1,2,1,1
40,5,4,1,2,1,2,2,2,4,2
132,1,3,1,2,1,2,2,2,2,1
43,1,4,1,2,1,1,4,2,2,1
48,5,4,1,1,1,2,3,2,2,2
118,4,4,1,2,1,3,2,3,1,3
4,5,4,1,2,1,1,2,2,3,2
61,2,3,1,2,1,2,2,3,3,2
3,1,4,1,2,1,2,2,3,3,2
3,1,4,1,1,1,3,2,3,2,3
57,6,4,4,2,1,2,3,2,3,1
27,4,3,1,2,1,1,1,2,1,2
64,6,4,1,2,1,2,2,3,2,1
28,3,1,1,1,1,2,1,1,2,3
102,5,3,1,2,1,1,1,1,1,1
27,4,4,1,2,1,1,2,4,1,1
109,1,4,1,2,1,3,2,1,1,1
2,4,4,1,2,1,2,2,4,2,2
42,5,3,1,2,1,1,1,3,2,2
69,6,4,1,2,1,2,2,2,2,2
61,2,3,1,2,1,3,1,2,3,3
99,4,3,1,2,1,3,1,1,1,2
72,5,3,1,2,1,1,1,1,2,1
121,2,3,1,1,1,2,2,1,1,1
121,2,4,2,2,1,2,4,3,2,2
26,6,3,2,2,1,3,2,2,3,3
128,3,3,1,2,1,1,2,3,2,1
95,4,4,1,1,1,2,1,3,3,2
44,4,3,1,2,1,1,1,1,1,1
