"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
121,2,2,1,1,2,1,1,1,1
8,5,3,1,1,3,2,3,2,3
40,5,2,1,2,2,2,3,3,1
58,4,3,3,2,3,3,2,2,2
121,2,2,1,2,3,2,1,2,2
40,5,2,1,2,2,2,2,1,1
40,5,3,1,1,3,2,3,3,2
106,4,1,1,1,2,1,1,2,1
40,5,2,1,2,2,1,1,1,2
103,1,2,1,2,1,2,2,3,1
111,3,3,1,2,3,4,4,4,2
125,6,1,1,2,2,1,1,1,1
118,4,3,1,2,2,2,2,2,2
102,5,2,1,2,2,1,1,2,1
22,1,3,1,2,2,1,2,2,1
12,2,1,1,2,1,2,3,4,2
1,6,2,2,2,1,1,2,2,2
102,5,2,1,2,3,2,2,2,2
106,4,1,1,2,1,1,3,3,3
125,6,1,1,2,3,1,3,2,1
111,3,2,1,2,1,1,1,1,2
40,5,2,3,1,2,2,3,2,1
83,1,2,1,2,2,2,1,1,1
85,6,3,1,2,3,2,4,2,1
96,2,4,1,2,3,2,4,2,2
70,1,4,1,1,2,2,2,2,2
60,4,1,3,2,2,2,3,3,2
8,5,2,1,2,3,3,3,2,2
8,5,4,1,1,3,3,3,2,4
40,5,2,3,2,2,2,3,3,3
119,5,3,1,2,1,2,2,2,2
40,5,2,1,2,3,3,3,3,2
102,5,4,1,2,2,2,2,2,1
57,6,1,1,2,1,2,1,1,1
102,5,1,3,1,2,1,2,1,3
26,6,3,1,2,2,1,3,3,2
64,6,2,1,2,1,2,2,2,3
86,6,2,1,1,2,1,1,1,1
4,5,3,1,2,2,3,3,2,3
72,5,1,1,1,1,1,1,1,1
47,3,3,1,2,1,1,1,2,1
124,1,2,1,2,1,2,1,1,1
102,5,4,1,2,2,2,3,3,2
40,5,2,1,2,2,1,3,2,1
72,5,2,1,2,1,1,2,2,1
34,2,2,1,2,3,1,2,2,1
8,5,4,1,2,2,2,2,4,2
119,5,3,1,2,1,1,1,1,1
91,2,3,1,2,1,1,1,1,2
60,4,1,1,2,1,1,2,2,1
58,4,4,1,1,2,1,1,1,1
3,1,2,1,2,2,2,3,3,1
47,3,3,1,1,2,2,4,2,2
8,5,1,1,2,1,1,1,1,1
40,5,2,1,2,2,2,2,3,2
65,6,2,1,1,3,2,3,3,3
129,6,3,1,2,2,1,1,1,1
103,1,3,2,1,2,2,2,3,1
44,4,2,1,2,1,1,2,1,2
40,5,2,1,1,1,2,3,2,1
9,3,1,1,2,1,1,2,2,2
27,4,3,1,2,2,2,2,2,1
60,4,3,2,2,2,3,3,3,3
119,5,3,3,2,2,2,3,3,1
26,6,3,1,2,1,1,2,3,2
40,5,3,1,2,2,2,3,3,2
26,6,2,1,2,1,1,2,2,1
4,5,2,1,2,2,2,2,3,1
72,5,3,1,2,2,2,3,3,1
34,2,1,1,2,2,2,2,2,2
40,5,3,1,1,2,2,3,3,2
40,5,1,3,2,2,2,3,3,3
40,5,2,3,2,2,2,3,3,2
134,6,2,1,1,2,2,3,3,2
72,5,4,1,1,3,3,3,3,2
109,1,3,1,2,3,1,1,2,2
102,5,1,2,2,2,1,3,2,2
36,2,1,1,1,3,2,3,3,1
40,5,2,1,1,2,2,2,2,1
40,5,2,1,2,3,1,4,2,3
2,4,2,1,1,1,1,1,2,2
101,6,3,2,2,2,1,1,2,2
40,5,3,1,1,2,2,1,1,1
2,4,1,1,1,1,1,3,2,2
20,2,1,1,2,1,1,2,2,1
58,4,2,1,2,2,2,2,2,3
115,3,2,1,1,2,2,1,1,1
2,4,1,1,2,2,2,1,2,2
118,4,3,1,1,3,1,3,3,1
102,5,1,3,2,1,1,2,2,2
14,1,3,1,2,3,2,2,2,2
72,5,2,3,2,4,2,3,1,2
79,2,2,2,2,1,1,1,1,3
108,1,2,1,1,1,1,1,1,1
26,6,4,1,2,2,2,3,2,2
125,6,2,1,1,2,2,2,3,1
96,2,3,2,2,2,2,2,1,1
95,4,3,1,2,2,2,3,2,2
109,1,3,1,1,3,3,3,2,2
58,4,2,1,2,2,2,2,2,2
60,4,3,2,1,1,2,1,1,1
134,6,2,1,2,1,2,1,3,3
40,5,3,1,2,1,1,1,1,1
126,3,3,1,2,4,2,1,4,2
111,3,2,1,2,2,1,2,1,1
58,4,3,1,1,3,3,2,3,3
108,1,3,2,2,2,1,3,2,2
27,4,2,1,2,1,2,3,3,2
98,6,2,1,2,1,1,2,2,4
125,6,2,2,2,4,4,4,4,4
87,6,2,1,1,3,1,2,2,2
125,6,2,3,2,2,2,3,3,1
75,2,4,2,2,2,2,4,4,1
102,5,2,3,1,1,1,1,1,1
109,1,3,1,2,3,1,2,2,2
26,6,1,2,2,3,1,1,2,4
27,4,3,2,2,2,1,2,3,4
61,2,4,2,2,2,2,3,3,2
53,1,1,3,2,2,2,2,4,2
26,6,3,2,1,3,2,3,3,3
125,6,2,2,2,2,2,3,2,2
46,2,3,1,1,2,2,1,2,1
72,5,1,3,2,2,2,3,3,1
111,3,1,1,1,1,1,2,1,1
125,6,2,3,2,1,1,4,4,2
131,3,1,1,2,3,1,4,3,2
44,4,3,2,2,1,1,1,2,2
40,5,3,1,2,2,2,3,3,2
47,3,3,1,2,2,2,1,1,1
133,1,2,1,2,3,3,4,2,2
12,2,1,3,2,3,2,2,3,2
34,2,1,1,2,3,1,1,2,2
70,1,1,1,1,3,1,1,2,2
27,4,3,1,1,3,3,3,3,2
27,4,3,1,2,1,2,2,2,2
75,2,2,1,2,2,2,3,2,2
63,4,3,1,2,2,1,3,2,3
27,4,3,1,2,2,2,1,1,1
107,6,3,1,2,2,2,2,1,2
79,2,2,1,2,2,2,2,4,2
109,1,3,1,2,1,2,1,4,1
26,6,1,2,1,2,3,3,3,3
109,1,1,1,1,1,1,1,1,1
40,5,2,1,2,3,4,4,4,3
34,2,2,2,1,2,2,1,1,1
125,6,1,2,2,1,2,4,2,2
34,2,1,2,2,2,2,2,2,4
64,6,2,1,2,1,2,2,2,2
4,5,1,2,2,2,1,3,2,1
78,5,3,1,2,2,1,1,1,1
87,6,1,1,2,1,1,3,2,3
127,1,2,1,2,1,1,2,2,2
60,4,2,3,2,2,4,4,2,2
113,1,1,1,2,3,2,2,3,2
75,2,3,1,1,2,1,2,2,1
27,4,2,2,1,1,1,1,3,1
100,2,1,1,2,1,1,2,2,1
77,5,3,1,2,2,1,2,3,2
57,6,1,2,2,2,2,1,1,1
60,4,3,1,2,1,1,2,2,2
102,5,2,1,1,1,1,3,3,2
21,4,3,1,2,3,3,3,3,2
120,3,1,1,1,3,4,2,2,2
108,1,1,1,2,2,1,4,2,2
40,5,1,1,1,1,1,2,3,1
102,5,4,1,1,3,2,3,2,2
127,1,1,1,1,3,3,2,3,3
83,1,1,1,1,2,1,4,2,2
96,2,3,1,2,2,2,1,2,1
43,1,2,1,2,1,1,3,2,2
75,2,2,1,2,1,2,1,1,1
40,5,3,1,1,2,2,3,3,2
89,6,4,1,2,1,1,2,1,1
67,6,2,1,2,1,1,2,1,1
95,4,3,2,2,3,2,3,2,3
91,2,3,1,1,2,3,3,3,2
40,5,3,1,2,1,1,3,3,3
5,4,3,1,2,3,2,2,3,2
40,5,4,1,2,2,2,2,2,2
58,4,2,2,2,1,1,2,2,3
26,6,3,1,2,3,3,2,3,2
27,4,3,1,2,1,1,1,1,1
109,1,3,1,2,2,1,3,3,2
72,5,2,3,2,2,1,2,2,1
40,5,3,1,2,2,3,1,1,1
75,2,2,1,2,2,1,2,2,2
60,4,3,2,2,2,2,2,2,2
40,5,2,2,2,3,1,2,2,2
20,2,2,2,2,2,1,3,3,3
27,4,3,1,1,1,1,1,1,1
73,4,3,2,2,1,1,2,3,2
36,2,3,1,2,2,2,2,2,3
34,2,2,2,1,1,2,3,3,1
109,1,3,1,2,1,1,2,1,1
106,4,2,1,1,2,1,2,1,1
40,5,3,1,2,2,2,2,3,2
48,5,1,3,1,4,1,2,3,1
56,2,3,1,2,2,1,1,1,1
125,6,2,1,2,3,2,4,3,3
121,2,2,2,2,1,1,1,1,1
27,4,2,1,1,1,2,1,1,1
118,4,2,3,1,2,2,3,2,2
108,1,1,1,1,1,1,2,3,1
12,2,2,1,1,2,2,2,2,2
60,4,2,3,2,1,1,1,1,1
115,3,3,1,2,2,2,3,2,2
91,2,1,2,1,2,2,3,4,2
75,2,3,2,2,2,2,3,2,2
131,3,3,1,1,2,2,3,2,2
106,4,4,3,2,2,2,3,2,3
40,5,3,1,2,1,2,2,3,1
132,1,2,1,2,3,3,2,2,3
86,6,3,2,2,4,4,3,3,3
102,5,2,1,2,3,4,3,3,2
108,1,4,1,2,2,2,2,2,1
60,4,3,1,2,1,2,3,3,1
119,5,3,1,2,1,1,1,1,1
118,4,2,1,1,2,1,1,1,1
4,5,2,2,2,2,1,2,3,3
87,6,3,2,2,1,1,3,3,1
126,3,3,1,2,3,2,2,2,2
57,6,1,2,1,1,1,2,3,1
34,2,2,2,2,1,1,2,2,3
106,4,4,2,2,2,2,2,3,1
109,1,3,2,2,2,2,2,2,1
60,4,1,2,2,3,1,2,2,2
119,5,2,3,2,1,1,1,1,4
8,5,2,1,2,2,4,2,4,2
118,4,1,1,2,1,1,2,2,3
60,4,1,1,2,3,1,2,3,2
102,5,3,1,2,1,1,1,1,1
109,1,2,2,2,2,2,3,3,1
83,1,3,1,1,3,1,2,3,1
110,3,3,1,1,3,2,1,1,2
94,1,3,1,2,1,1,1,2,1
127,1,4,1,2,2,2,2,2,1
1,6,3,1,2,2,2,3,2,1
40,5,2,1,1,1,2,3,3,2
40,5,2,3,2,3,2,3,3,2
125,6,2,3,2,2,1,1,2,2
34,2,4,1,2,2,2,3,3,2
51,6,2,1,2,1,1,1,3,1
50,1,2,1,2,2,1,1,4,2
56,2,2,2,2,1,1,3,1,1
102,5,3,1,2,2,1,2,2,2
8,5,1,2,2,2,2,3,3,2
128,3,2,1,2,3,3,3,2,1
106,4,4,1,1,2,1,2,1,2
42,5,3,3,2,2,1,1,2,1
94,1,2,1,2,3,3,1,1,2
57,6,3,1,1,1,1,1,1,1
106,4,2,1,1,2,1,3,3,2
61,2,2,1,2,2,2,3,3,2
106,4,2,1,1,2,2,3,2,1
111,3,1,1,2,3,2,1,2,2
52,4,2,1,2,2,1,2,1,1
60,4,2,2,1,2,1,1,1,1
4,5,2,1,1,2,2,3,2,2
111,3,4,1,1,1,1,2,2,1
102,5,3,1,2,2,2,1,1,1
40,5,1,1,1,2,2,3,3,1
118,4,1,1,2,2,1,2,4,2
115,3,2,1,1,1,1,2,1,2
118,4,1,2,2,3,1,2,2,2
86,6,1,3,2,1,1,3,2,2
26,6,1,1,2,2,3,3,3,2
106,4,1,2,2,1,1,3,3,2
60,4,3,1,2,2,2,2,1,1
75,2,3,1,1,1,1,1,1,1
102,5,3,2,1,3,2,2,2,2
8,5,1,1,1,1,1,2,3,1
40,5,1,1,1,1,1,1,2,1
72,5,1,1,1,1,1,2,3,1
40,5,1,1,2,3,1,2,3,3
40,5,3,1,2,3,2,3,3,3
86,6,4,2,2,2,3,3,2,2
40,5,3,1,1,3,3,3,2,3
87,6,2,1,2,2,1,3,3,1
87,6,2,1,2,4,2,4,2,2
125,6,3,1,2,2,2,3,3,1
102,5,2,3,2,1,2,3,3,1
40,5,1,1,2,2,1,2,2,2
77,5,2,1,1,1,1,1,1,1
98,6,3,2,2,1,1,3,3,1
40,5,2,1,2,1,1,1,1,1
26,6,3,1,2,2,2,2,3,1
49,1,1,1,1,2,2,1,2,1
38,6,2,1,2,3,1,1,2,2
118,4,2,2,2,2,2,2,3,3
60,4,3,1,1,2,2,1,1,1
119,5,3,1,2,1,2,4,4,2
86,6,3,2,1,1,1,1,1,1
8,5,2,3,1,3,2,3,2,2
60,4,2,3,1,1,1,1,1,1
8,5,1,1,2,3,1,3,3,3
133,1,3,1,2,2,2,3,3,2
20,2,1,1,2,3,1,1,3,1
41,5,2,1,2,3,4,4,2,2
102,5,2,3,2,1,1,1,2,2
40,5,1,2,2,1,2,3,3,3
106,4,2,2,2,3,1,4,2,2
57,6,2,2,2,2,1,3,2,3
125,6,2,1,2,2,2,2,1,1
7,4,2,1,2,2,1,2,3,2
40,5,1,1,2,3,2,3,3,2
60,4,2,2,2,3,1,4,3,2
40,5,2,1,2,2,2,1,1,1
67,6,2,1,2,1,2,2,2,2
95,4,2,1,2,2,1,2,4,1
26,6,2,3,2,3,1,1,3,1
119,5,2,1,2,1,1,1,1,2
4,5,2,1,2,2,2,3,3,3
125,6,2,3,1,3,2,2,3,3
2,4,1,2,2,2,3,1,1,2
40,5,2,3,2,2,2,4,2,2
68,6,3,1,2,1,2,1,1,2
125,6,4,1,1,1,2,3,3,2
125,6,2,3,2,2,2,2,1,1
58,4,2,1,2,1,2,3,3,1
128,3,2,1,2,3,1,4,2,2
40,5,2,1,2,2,2,3,3,2
98,6,1,2,1,2,1,3,3,1
121,2,2,3,2,1,1,2,2,2
86,6,3,2,2,2,1,2,2,1
40,5,4,1,2,2,2,2,1,2
114,1,2,1,2,1,1,1,1,1
40,5,4,1,1,1,1,2,2,1
72,5,2,1,1,1,1,2,1,1
54,4,2,1,2,2,1,2,1,1
60,4,3,2,2,3,1,4,2,1
119,5,3,2,1,3,1,3,3,3
106,4,2,1,1,2,1,2,1,2
87,6,3,1,2,3,2,2,3,2
72,5,2,1,2,2,2,3,3,2
125,6,2,2,2,1,1,2,3,1
108,1,2,1,2,3,1,3,3,2
8,5,2,1,1,1,1,1,1,1
60,4,3,3,2,2,1,3,3,1
132,1,3,1,1,2,2,2,2,1
26,6,4,1,1,1,1,1,1,1
86,6,2,1,2,1,1,1,2,2
121,2,3,3,1,2,1,3,3,1
119,5,2,1,2,1,1,2,2,2
2,4,3,3,2,3,3,2,3,2
108,1,4,1,2,2,2,3,2,2
57,6,2,2,2,3,1,2,2,1
49,1,2,1,2,1,1,1,1,1
95,4,3,3,2,1,1,1,1,1
40,5,3,2,2,3,3,3,3,2
70,1,3,1,2,2,1,1,1,2
125,6,3,1,1,1,1,2,2,1
130,4,2,1,2,2,2,2,3,2
26,6,3,1,2,2,2,3,3,3
95,4,1,2,2,2,1,1,1,2
60,4,2,1,1,1,1,2,2,1
2,4,2,3,1,2,3,3,3,2
15,1,3,1,2,3,3,3,3,1
126,3,3,1,2,2,2,2,4,2
127,1,2,1,2,2,3,3,3,3
2,4,1,1,2,2,1,2,2,1
61,2,3,2,2,2,1,1,2,1
119,5,2,1,2,4,4,4,4,4
4,5,4,2,2,2,4,4,4,3
8,5,4,1,2,3,2,2,2,2
42,5,4,1,1,1,1,1,1,1
92,4,1,1,1,4,1,2,1,2
73,4,4,1,2,1,2,2,2,1
119,5,4,1,2,3,2,3,3,1
113,1,3,1,1,1,1,1,1,1
126,3,3,1,2,3,2,2,2,2
83,1,3,1,2,1,1,1,1,1
6,3,1,1,2,1,1,2,2,1
57,6,3,1,2,2,2,3,3,3
125,6,2,1,2,3,1,3,3,3
40,5,2,1,2,2,2,2,3,2
40,5,3,1,2,2,3,3,3,2
3,1,3,1,2,2,2,2,2,1
83,1,1,1,2,3,1,3,3,1
126,3,3,1,2,3,2,2,2,2
8,5,2,1,1,2,2,2,2,1
40,5,3,3,2,3,3,3,3,3
60,4,3,1,2,2,2,3,2,1
102,5,2,2,2,2,1,2,2,3
47,3,1,1,2,2,1,2,1,2
8,5,2,1,2,2,2,2,2,2
125,6,3,1,2,1,1,2,2,1
40,5,3,3,2,2,1,1,1,1
44,4,3,1,2,2,2,1,1,2
118,4,1,1,1,2,2,1,1,2
121,2,2,1,2,2,1,1,2,1
133,1,3,1,2,2,1,3,3,3
75,2,2,2,2,1,1,2,2,2
40,5,1,3,1,1,1,2,2,3
121,2,1,3,2,3,1,2,2,2
103,1,3,3,2,1,1,1,1,1
40,5,1,1,2,3,2,1,1,1
118,4,3,1,2,2,3,3,3,2
57,6,1,1,2,1,3,3,4,2
49,1,2,1,1,3,2,2,2,1
75,2,3,1,1,3,1,2,2,2
57,6,2,1,2,1,1,3,3,2
125,6,2,1,2,1,1,2,3,2
40,5,3,1,1,1,1,2,2,2
111,3,2,1,2,2,2,2,2,1
109,1,1,1,2,2,1,3,3,3
86,6,3,1,2,2,1,4,3,2
105,4,1,1,2,1,1,1,1,1
4,5,3,3,1,1,2,2,2,2
60,4,1,2,2,1,1,3,3,2
40,5,2,1,2,1,1,2,2,2
113,1,2,1,1,3,2,1,3,1
27,4,4,2,1,2,1,4,2,4
2,4,2,3,2,2,2,2,2,2
8,5,2,1,2,2,3,3,3,3
26,6,2,3,1,2,2,2,3,2
125,6,3,1,1,1,1,1,1,1
57,6,1,1,2,1,1,2,1,1
125,6,1,1,1,2,2,2,1,1
1,6,2,1,2,2,2,2,2,2
14,1,3,1,2,2,2,4,2,1
115,3,3,1,2,1,1,1,1,1
2,4,2,2,2,1,2,3,3,2
124,1,1,1,2,3,1,2,3,1
125,6,2,1,2,2,1,2,4,1
125,6,4,1,2,2,2,2,2,1
87,6,4,1,2,2,1,1,1,1
73,4,2,1,2,2,1,2,2,3
2,4,1,1,1,1,2,3,1,1
102,5,3,1,1,1,1,2,4,2
72,5,3,3,2,2,1,2,2,2
72,5,3,1,2,1,1,3,3,1
32,4,3,1,2,2,1,1,1,1
60,4,3,1,2,2,2,1,1,1
57,6,1,1,1,1,1,1,1,2
106,4,4,1,2,1,1,1,1,1
86,6,2,2,2,2,2,3,3,2
86,6,2,1,2,2,1,3,3,2
58,4,3,1,2,3,1,2,1,1
8,5,1,1,2,2,2,2,2,2
83,1,3,1,2,3,1,2,3,1
125,6,4,1,1,2,1,1,4,1
65,6,3,1,2,3,2,4,2,3
112,1,3,1,2,2,2,3,3,2
60,4,1,1,2,2,1,2,2,1
40,5,2,3,1,1,1,2,2,2
