"Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM","COUNTY_PY","REGION_PY","GENDER_RECODE","RACE_RECODE","AGE_RECODE"
3,3,2,1,1,1,75,2,2,1,3
1,2,1,2,3,3,79,2,2,1,3
2,1,2,2,1,1,12,2,2,1,3
2,2,3,3,3,3,46,2,2,1,3
2,2,2,3,3,3,46,2,2,1,3
1,3,2,2,2,1,61,2,2,1,3
2,1,1,2,3,1,56,2,1,2,3
1,2,2,3,2,2,79,2,1,2,3
2,2,2,3,2,2,24,2,1,2,3
1,1,1,2,2,2,121,2,1,2,3
1,2,2,2,2,2,121,2,1,2,3
3,3,3,3,3,3,96,2,2,2,3
3,3,3,3,2,2,96,2,2,2,3
3,2,2,3,3,2,34,2,2,2,3
3,2,3,3,3,3,34,2,2,2,3
3,2,2,3,2,2,75,2,2,2,3
2,2,2,3,2,3,61,2,2,2,3
1,3,3,3,3,3,74,2,2,2,3
1,2,1,3,3,2,81,2,2,2,3
1,2,2,2,2,2,74,2,2,2,3
1,3,2,3,2,2,81,2,2,2,3
2,2,2,2,3,3,121,2,2,2,3
3,3,1,3,1,1,12,2,1,4,3
2,1,2,2,3,3,79,2,1,4,3
2,2,2,2,3,1,37,2,1,4,3
3,1,1,1,1,1,75,2,2,4,3
1,2,1,1,1,1,61,2,2,4,3
1,3,3,3,3,2,61,2,2,4,3
1,1,1,3,3,1,121,2,2,4,3
3,1,1,1,2,1,96,2,1,1,2
2,1,1,2,1,1,117,2,1,1,2
3,3,1,2,3,2,34,2,2,1,2
2,1,1,1,1,1,79,2,2,1,2
2,2,1,3,2,3,24,2,2,1,2
3,1,1,2,3,3,34,2,1,2,2
1,3,3,3,3,3,16,2,1,2,2
1,2,1,1,3,1,16,2,1,2,2
2,2,1,1,3,3,121,2,1,2,2
1,2,2,2,3,3,79,2,2,2,2
1,1,1,2,1,2,121,2,2,2,2
1,2,1,2,1,3,46,2,1,4,2
2,2,1,3,2,1,79,2,2,4,2
1,1,1,1,1,2,74,2,2,1,1
2,1,1,2,1,1,100,2,2,1,1
2,2,1,1,2,1,121,2,2,1,1
3,1,1,1,1,2,20,2,1,2,1
3,3,2,2,3,2,75,2,1,2,1
1,1,1,1,1,1,81,2,2,2,1
3,2,1,1,1,1,20,2,2,4,1
1,1,1,1,1,1,46,2,2,4,1
2,1,1,1,1,1,9,3,1,1,4
2,2,2,3,3,2,59,3,1,1,4
2,2,2,2,1,1,126,3,1,1,4
3,1,1,3,1,1,6,3,2,1,4
1,2,2,2,3,1,9,3,2,1,4
1,3,3,3,3,2,47,3,2,1,4
1,1,2,1,1,1,47,3,2,1,4
1,3,3,3,2,2,126,3,2,1,4
2,2,2,2,2,1,47,3,2,2,4
2,2,2,2,2,3,128,3,1,1,3
2,3,3,3,3,3,93,3,1,1,3
2,1,2,3,2,3,28,3,1,1,3
1,3,1,2,3,1,128,3,2,1,3
2,3,2,2,2,1,128,3,2,1,3
2,1,2,1,1,2,115,3,2,1,3
1,3,3,3,3,3,115,3,2,1,3
2,3,3,3,3,3,93,3,2,1,3
1,2,1,1,2,2,28,3,2,1,3
1,2,3,3,3,3,47,3,2,1,3
2,3,1,3,3,1,128,3,2,2,3
2,2,2,2,2,2,111,3,2,1,2
1,2,2,2,3,1,115,3,2,1,2
1,1,1,1,1,1,47,3,2,1,2
2,1,1,1,1,1,128,3,2,1,1
2,2,1,1,1,1,93,3,2,1,1
2,1,1,2,2,1,120,3,2,4,1
1,2,2,1,1,1,27,4,1,1,4
2,1,1,2,3,2,27,4,1,1,4
1,2,2,2,2,2,60,4,1,1,4
1,2,1,1,1,3,60,4,1,1,4
2,3,2,2,3,3,60,4,1,1,4
2,3,2,3,2,1,106,4,1,1,4
1,1,1,1,1,1,106,4,1,1,4
2,3,2,3,3,3,106,4,1,1,4
2,1,2,1,2,1,27,4,1,1,4
1,1,2,2,2,1,27,4,1,1,4
1,2,2,3,2,1,27,4,1,1,4
1,1,1,1,2,1,44,4,1,1,4
1,2,1,2,1,2,2,4,1,1,4
1,2,1,1,2,1,2,4,1,1,4
1,2,2,1,1,2,44,4,2,1,4
2,1,2,3,3,2,27,4,2,1,4
1,2,2,2,2,2,60,4,2,1,4
1,3,2,2,3,2,60,4,2,1,4
1,1,2,1,1,1,60,4,2,1,4
2,1,2,1,3,1,27,4,2,1,4
1,3,3,3,2,2,58,4,2,1,4
1,3,3,3,2,1,54,4,2,1,4
1,2,2,2,1,1,84,4,2,1,4
1,3,2,3,3,2,2,4,2,1,4
1,1,1,1,1,1,32,4,2,1,4
1,2,2,3,1,2,118,4,2,1,4
1,2,1,3,2,2,27,4,1,2,4
1,2,1,1,1,1,60,4,1,2,4
1,3,2,2,2,1,106,4,1,2,4
1,1,2,3,3,2,27,4,2,2,4
1,2,3,3,3,2,95,4,2,2,4
1,2,2,3,3,2,27,4,2,2,4
2,2,1,1,1,3,106,4,2,2,4
2,3,2,3,2,2,106,4,2,2,4
2,3,1,2,3,2,60,4,2,2,4
2,2,1,3,3,3,60,4,2,2,4
2,2,2,3,3,2,118,4,2,2,4
2,1,1,1,1,2,27,4,1,4,4
2,2,2,3,2,2,106,4,1,4,4
2,2,2,1,3,3,27,4,1,1,3
2,2,1,3,2,2,60,4,1,1,3
2,1,1,1,1,1,60,4,1,1,3
1,1,1,1,1,1,60,4,1,1,3
1,1,1,1,1,1,130,4,1,1,3
1,2,2,2,2,1,60,4,1,1,3
2,2,3,3,3,2,2,4,1,1,3
2,3,3,3,2,2,118,4,1,1,3
1,2,1,2,1,1,118,4,1,1,3
1,2,2,2,3,3,63,4,2,1,3
2,2,1,3,2,3,27,4,2,1,3
1,3,1,1,1,2,27,4,2,1,3
1,2,2,3,3,2,95,4,2,1,3
2,1,1,1,1,1,95,4,2,1,3
