"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
98,6,4,2,1,2,1,2,3,4,2
27,4,3,1,1,2,2,2,1,2,1
8,5,2,2,1,2,2,1,1,1,3
72,5,4,1,2,2,2,3,3,3,2
102,5,4,2,1,2,3,2,3,3,1
72,5,3,1,1,2,1,1,1,1,1
102,5,1,2,1,2,1,2,1,2,3
27,4,2,1,1,2,1,1,2,2,2
8,5,2,3,1,2,1,4,1,3,1
40,5,3,1,1,2,1,3,1,2,1
21,4,1,1,2,2,1,1,4,3,1
123,6,2,2,1,2,3,1,1,1,1
15,1,4,1,1,2,1,2,1,1,1
104,1,1,1,2,2,1,1,2,3,1
46,2,4,1,1,2,1,3,1,1,2
120,3,3,1,1,2,2,2,2,4,1
83,1,3,1,2,2,2,2,2,2,2
133,1,3,1,1,1,1,1,1,1,1
46,2,4,1,2,1,2,2,1,1,3
125,6,3,1,2,1,2,2,2,2,2
102,5,1,1,1,1,2,2,1,1,1
60,4,4,2,2,1,1,3,1,2,1
77,5,4,1,1,1,1,1,1,1,2
44,4,4,1,2,1,2,2,2,2,1
60,4,2,1,1,1,2,3,3,2,1
40,5,2,2,2,1,1,1,3,2,1
107,6,3,4,1,1,3,3,1,3,3
2,4,4,1,2,1,2,2,4,2,4
65,6,3,1,2,1,1,1,1,2,2
26,6,3,1,1,1,1,1,1,2,1
88,6,3,1,2,1,3,3,2,3,3
26,6,3,1,1,1,3,1,1,1,1
75,2,2,1,2,1,2,1,2,2,2
127,1,4,1,2,1,3,2,1,1,1
77,5,3,1,1,1,2,4,3,2,2
115,3,1,1,1,1,1,1,1,1,1
106,4,4,1,1,1,1,2,1,1,2
130,4,4,1,2,1,1,1,1,1,1
72,5,3,1,2,1,1,1,1,1,2
40,5,4,1,2,1,1,2,2,1,1
106,4,4,2,1,1,2,2,1,2,2
134,6,3,1,1,1,1,4,4,2,1
40,5,3,3,2,1,2,2,2,1,2
83,1,3,1,2,1,3,1,3,3,1
86,6,4,1,2,1,3,3,3,3,2
27,4,4,1,2,1,2,2,3,3,2
27,4,3,2,2,1,3,1,1,2,3
7,4,4,1,1,1,2,1,1,3,1
27,4,2,1,1,1,1,1,1,1,1
57,6,3,2,1,1,2,1,3,1,1
58,4,4,1,1,1,3,3,3,3,2
106,4,3,2,2,1,2,2,1,1,1
96,2,3,1,1,1,2,1,1,1,1
121,2,4,1,1,1,2,2,1,1,2
125,6,3,1,1,1,2,2,1,2,1
108,1,4,1,1,1,3,3,3,3,3
4,5,4,2,2,1,2,2,4,3,2
27,4,3,1,2,1,1,2,1,1,1
27,4,3,1,2,1,2,3,3,3,1
26,6,4,1,2,1,2,1,1,2,1
34,2,3,3,2,1,1,3,3,2,1
11,2,3,1,1,1,3,2,1,1,1
22,1,4,1,1,1,1,1,4,1,4
83,1,2,1,1,1,2,3,3,2,1
26,6,4,1,2,1,1,2,2,2,2
101,6,3,2,2,1,1,1,4,3,1
125,6,4,1,1,1,2,2,1,1,2
60,4,4,1,2,1,2,2,2,4,2
95,4,4,1,1,1,3,1,1,1,1
77,5,3,1,2,1,2,2,4,3,3
86,6,3,2,2,1,1,1,1,2,2
27,4,3,1,1,1,1,1,1,1,1
8,5,3,2,1,1,2,2,3,2,1
81,2,4,1,1,1,2,2,3,2,4
61,2,4,1,2,1,1,1,1,2,1
88,6,2,2,1,1,2,1,1,2,2
134,6,4,1,2,1,3,3,1,3,3
57,6,2,2,1,1,1,1,2,3,1
60,4,5,1,1,1,1,2,3,2,1
127,1,4,1,2,1,1,3,1,1,4
8,5,2,1,1,1,2,2,3,2,2
125,6,3,1,1,1,1,1,1,2,1
106,4,1,1,1,1,1,1,4,2,2
125,6,3,1,2,1,3,2,1,1,1
42,5,3,1,1,1,3,3,2,3,3
4,5,3,1,2,1,2,1,4,2,2
51,6,3,3,1,1,1,2,1,1,1
11,2,4,1,2,1,3,1,3,3,3
132,1,3,1,1,1,2,3,2,3,3
14,1,3,1,1,1,1,1,1,1,1
87,6,4,1,1,1,2,2,2,1,1
87,6,3,1,2,1,1,3,4,3,4
109,1,1,1,1,1,1,1,2,1,3
127,1,4,1,2,1,3,3,3,3,3
111,3,4,1,2,1,1,1,1,2,1
60,4,3,1,1,1,1,1,1,1,1
40,5,3,3,1,1,1,2,1,1,1
125,6,4,1,1,1,2,3,1,2,1
116,1,3,1,2,1,2,2,1,1,1
102,5,3,2,2,1,3,1,3,3,1
125,6,4,1,1,1,1,2,1,1,4
96,2,1,1,1,1,2,1,3,3,1
121,2,3,1,2,1,1,1,1,2,1
61,2,2,1,1,1,3,3,3,3,3
25,4,2,1,1,1,4,1,2,1,1
51,6,4,1,1,1,1,1,1,1,2
102,5,1,1,1,1,1,1,1,1,1
100,4,4,1,2,1,1,1,1,1,1
125,6,2,2,2,1,1,1,2,2,1
15,1,4,1,2,1,2,2,4,2,2
121,2,4,1,2,1,2,2,4,3,4
77,5,2,4,1,1,1,1,1,2,1
72,5,3,1,2,1,1,2,3,2,1
125,6,3,1,2,1,3,2,1,1,3
34,2,4,1,1,1,3,3,3,2,2
40,5,4,1,2,1,1,1,2,1,1
61,2,3,1,2,1,1,1,1,3,1
27,4,4,1,1,1,1,2,1,1,1
57,6,3,1,2,1,2,1,1,2,2
27,4,3,1,2,1,2,3,1,3,2
102,5,4,1,2,1,1,1,1,2,1
72,5,3,1,1,1,1,1,1,2,1
102,5,4,1,1,1,3,4,1,2,2
113,1,3,1,1,1,1,1,3,3,3
80,6,3,1,2,1,2,2,1,2,2
100,4,3,2,1,1,1,2,1,1,1
72,5,3,2,1,1,3,1,2,2,3
98,6,4,1,2,1,2,2,1,1,1
109,1,4,2,1,1,2,3,2,1,2
102,5,2,1,2,1,1,2,2,3,1
40,5,4,1,2,1,2,3,4,2,1
57,6,4,1,2,1,2,2,2,3,1
27,4,4,1,2,1,1,1,1,1,1
40,5,3,1,2,1,2,2,3,3,3
131,3,3,1,2,1,1,1,2,4,1
22,1,4,1,2,1,2,2,2,2,1
108,1,3,1,1,1,2,3,4,3,4
106,4,3,1,1,1,2,2,2,2,3
23,6,1,2,2,1,2,2,1,2,2
40,5,2,1,2,1,3,2,3,3,1
27,4,4,1,2,1,2,1,1,1,1
106,4,3,2,2,1,3,3,3,3,3
60,4,4,1,1,1,2,2,1,2,1
58,4,3,1,1,1,1,1,1,1,1
58,4,3,1,1,1,2,2,1,1,1
96,2,4,2,1,1,2,2,2,1,3
110,3,4,1,2,1,2,2,3,2,3
125,6,4,1,2,1,4,3,3,2,3
60,4,3,1,2,1,2,2,3,1,1
127,1,1,1,1,1,1,1,1,2,3
86,6,2,4,1,1,3,4,4,3,2
102,5,4,1,1,1,2,1,1,1,1
96,2,4,1,2,1,2,3,2,2,1
40,5,4,1,1,1,1,1,1,1,1
4,5,2,2,1,1,1,1,1,1,2
111,3,3,1,2,1,3,2,4,4,2
56,2,3,2,2,1,3,1,3,3,2
106,4,1,1,2,1,2,2,3,1,1
46,2,3,1,2,1,2,2,1,2,2
6,3,3,1,1,1,3,3,3,3,3
1,6,4,1,1,1,1,2,4,2,1
47,3,4,1,2,1,1,1,1,1,1
115,3,4,1,2,1,1,2,1,2,1
108,1,4,1,1,1,2,2,2,3,2
130,4,4,1,2,1,3,2,2,2,1
27,4,4,1,2,1,4,4,4,4,3
125,6,4,1,1,1,1,2,1,2,1
43,1,3,1,1,1,1,1,2,2,1
1,6,4,2,2,1,3,2,2,2,3
86,6,3,1,2,1,1,2,2,1,1
55,6,4,1,1,1,2,2,1,2,1
57,6,4,2,2,1,2,2,4,2,2
