"Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM","COUNTY_PY","REGION_PY","GENDER_RECODE","RACE_RECODE","AGE_RECODE"
1,1,1,1,3,2,60,4,1,1,4
2,1,2,2,1,2,60,4,1,1,4
1,1,1,1,1,1,27,4,1,1,4
1,2,2,3,2,1,40,5,1,1,4
1,2,1,2,2,2,102,5,1,1,4
1,1,2,2,1,1,72,5,1,1,4
1,1,1,1,1,2,40,5,1,1,4
1,3,1,1,1,1,4,5,1,1,4
1,3,3,3,3,3,40,5,1,1,4
2,1,2,3,2,2,48,5,1,1,4
1,3,2,1,2,1,67,6,1,1,4
2,2,3,1,3,2,82,6,1,1,4
2,1,1,1,1,1,26,6,1,1,4
2,2,2,1,1,1,26,6,1,1,4
1,3,3,3,2,2,125,6,1,1,4
1,1,2,1,1,1,125,6,1,1,4
1,2,2,1,1,1,125,6,1,1,4
2,1,1,1,3,1,98,6,1,1,4
2,3,1,2,2,3,NA,7,1,2,1
2,1,1,3,2,3,112,1,1,2,1
2,1,1,1,2,1,121,2,1,2,1
2,2,1,2,3,3,34,2,1,2,1
2,1,1,2,3,1,58,4,1,2,1
2,2,2,1,1,1,95,4,1,2,1
2,2,1,2,2,2,78,5,1,2,1
2,1,2,3,2,1,40,5,1,2,1
2,1,1,1,1,1,119,5,1,2,1
2,2,1,2,2,1,26,6,1,2,1
2,4,2,4,4,4,87,6,1,2,1
2,3,1,3,2,2,108,1,1,2,2
2,1,1,1,1,1,16,2,1,2,2
2,1,1,2,2,2,34,2,1,2,2
2,1,1,3,2,1,20,2,1,2,2
2,2,2,1,2,1,56,2,1,2,2
2,2,2,2,3,1,131,3,1,2,2
2,4,4,4,4,4,27,4,1,2,2
2,2,1,3,3,1,27,4,1,2,2
2,2,1,3,2,1,60,4,1,2,2
2,2,1,1,3,3,8,5,1,2,2
2,1,1,3,3,1,67,6,1,2,2
2,4,1,3,2,2,26,6,1,2,2
2,3,2,2,3,1,87,6,1,2,2
2,1,1,1,1,1,87,6,1,2,2
2,2,1,3,2,2,86,6,1,2,2
1,2,2,1,2,1,117,2,1,2,3
1,2,1,2,2,1,81,2,1,2,3
2,1,1,3,3,3,59,3,1,2,3
2,3,2,2,2,3,32,4,1,2,3
1,1,2,3,3,2,32,4,1,2,3
1,2,2,1,1,2,2,4,1,2,3
2,2,2,1,3,2,106,4,1,2,3
2,1,3,2,2,3,106,4,1,2,3
1,2,2,1,2,2,106,4,1,2,3
1,1,1,1,1,1,60,4,1,2,3
2,2,2,2,3,3,27,4,1,2,3
2,1,2,1,1,1,27,4,1,2,3
2,2,2,2,3,3,119,5,1,2,3
2,1,1,3,3,2,26,6,1,2,3
2,3,3,3,2,2,1,6,1,2,3
2,1,2,2,3,3,125,6,1,2,3
2,2,2,3,2,2,87,6,1,2,3
2,3,2,2,3,3,87,6,1,2,3
1,2,1,3,3,2,86,6,1,2,3
2,3,2,3,2,2,57,6,1,2,3
2,3,1,1,2,2,134,6,1,2,3
1,1,1,2,2,1,98,6,1,2,3
1,1,1,2,2,1,101,6,1,2,3
1,2,2,3,2,2,20,2,1,2,4
